price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,height,city,district
3.3,40.0,5.0,3.0,0,0,0,0,0,4.0,4.785596879535559,14.383711086411271,1,1
4.5,68.0,2.0,4.0,1,1,1,1,0,3.0,4.0,17.0,0,1
34.9,110.0,10.0,10.0,1,1,1,1,1,15.0,7.0,14.383711086411271,1,0
1.8,20.0,4.0,2.0,1,1,1,0,0,3.0,4.785596879535559,14.383711086411271,1,1
9.0,64.0,3.0,3.0,0,0,0,0,1,10.0,4.785596879535559,14.383711086411271,0,1
11.5,111.0,5.0,6.0,1,1,1,1,0,6.0,5.0,22.0,1,0
6.5,50.0,1.0,1.0,0,0,0,0,0,4.0,4.785596879535559,14.383711086411271,1,1
6.0,38.0,4.0,4.0,0,0,0,0,0,5.0,4.785596879535559,14.383711086411271,0,1
5.3,42.0,5.0,6.0,1,1,1,1,0,4.0,3.8,14.383711086411271,1,0
4.2,52.0,3.0,3.0,1,1,1,1,0,4.0,3.5,14.383711086411271,1,0
4.1,45.0,5.0,4.0,1,1,1,1,0,3.5,4.785596879535559,14.383711086411271,1,0
2.95,45.0,4.0,4.0,0,0,0,0,0,2.5,4.785596879535559,14.383711086411271,1,1
2.2,30.0,2.0,2.0,1,1,1,1,0,2.5,3.5,9.0,1,1
17.98,70.0,7.0,6.0,1,1,1,1,0,5.3,5.3,14.383711086411271,1,0
7.8,30.0,4.0,1.0,0,0,0,0,1,12.0,8.0,14.383711086411271,1,0
3.15,95.0,3.0,5.0,1,1,1,1,1,12.0,5.0,19.0,0,1
5.4,64.0,5.0,4.0,1,1,1,1,0,7.0,4.0,16.0,0,1
9.1,60.0,4.0,4.0,0,0,0,0,1,8.0,4.785596879535559,14.383711086411271,0,1
32.0,60.0,4.0,4.0,0,0,0,0,1,20.0,4.0,15.0,0,1
16.0,65.0,7.0,8.0,1,1,1,0,0,8.0,4.785596879535559,14.383711086411271,1,1
6.8,55.0,4.0,4.0,1,1,1,1,1,4.0,4.0,13.0,1,1
3.0,35.0,4.0,5.0,1,1,1,0,0,2.5,5.5,14.383711086411271,1,0
9.25,55.0,4.0,4.0,1,1,1,1,1,5.0,3.7,15.0,1,1
12.5,55.0,7.0,5.0,1,1,1,1,0,5.0,4.785596879535559,14.383711086411271,1,1
7.0,35.0,4.0,4.0,0,0,0,0,0,8.0,5.8,14.383711086411271,1,1
7.0,58.0,3.0,3.0,1,1,1,1,1,5.0,4.4,14.0,1,1
6.3,77.0,2.0,3.0,1,1,1,1,1,6.0,4.8,15.0,0,1
14.5,105.0,4.0,4.0,1,1,1,1,1,8.0,6.7,16.0,0,1
9.8,48.0,4.0,4.0,1,1,1,1,0,5.0,4.0,12.0,1,1
5.2,6.038,6.0,10.0,1,1,1,1,0,3.0,15.0,4.0,1,0
4.5,44.0,4.0,4.0,1,1,1,0,0,4.0,4.0,14.383711086411271,1,1
2.52,37.0,4.0,4.0,1,1,1,0,0,3.0,4.3,8.5,1,0
14.0,52.0,6.0,8.0,1,1,1,0,0,6.8,5.6,14.383711086411271,1,0
3.5,40.0,5.0,5.0,1,1,1,1,0,5.0,6.0,14.383711086411271,1,1
